Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Gender,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe
1214,44.0,1,0,8.0,1,3,1.0,3.0,2.0,1,4,1,0.0,22879.0,False,True,False,True,False,False,False,False,True,False,False,False,True,False
3829,35.0,1,2,20.0,2,3,4.0,3.0,3.0,0,1,1,2.0,27306.0,False,False,True,True,False,False,False,False,True,False,False,False,True,False
2622,47.0,1,2,7.0,1,4,4.0,5.0,3.0,0,2,1,2.0,29131.0,False,False,True,True,False,False,False,False,True,False,False,False,True,False
1543,32.0,1,0,6.0,2,3,3.0,4.0,2.0,0,3,1,0.0,21220.0,False,True,False,True,False,False,False,True,False,False,True,False,False,False
3144,59.0,1,0,9.0,2,3,4.0,3.0,6.0,0,2,1,2.0,21157.0,True,False,False,False,True,False,True,False,False,False,False,False,False,False
907,44.0,1,2,11.0,2,2,3.0,4.0,1.0,0,5,1,1.0,33213.0,False,False,True,False,False,False,False,False,False,True,False,True,False,False
1426,32.0,1,0,35.0,1,2,4.0,4.0,2.0,0,3,1,0.0,17837.0,False,True,False,False,True,False,True,False,False,False,False,False,False,False
4269,27.0,1,2,7.0,2,3,4.0,3.0,3.0,0,5,0,2.0,23974.0,False,True,False,True,False,False,False,True,False,False,True,False,False,False
261,38.0,0,2,8.0,2,2,4.0,3.0,4.0,0,5,1,1.0,20249.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False
4223,32.0,1,0,12.0,2,3,4.0,3.0,2.0,1,4,1,1.0,23499.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False
243,40.0,1,0,30.0,2,3,3.0,3.0,2.0,0,3,1,1.0,18319.0,True,False,False,True,False,False,False,True,False,False,True,False,False,False
3533,38.0,1,0,20.0,2,3,4.0,3.0,3.0,0,1,0,1.0,22963.0,False,False,True,True,False,False,False,True,False,False,True,False,False,False
228,35.0,0,2,6.0,0,3,3.0,3.0,2.0,0,5,1,0.0,23789.0,False,False,True,False,False,True,False,False,True,False,False,False,True,False
1110,35.0,1,0,8.0,1,3,3.0,5.0,2.0,1,1,1,1.0,17074.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False
4350,34.0,1,0,17.0,2,3,6.0,3.0,2.0,0,5,0,1.0,22086.0,False,False,True,True,False,False,True,False,False,False,False,False,False,False
3870,33.0,1,0,36.0,1,3,5.0,4.0,3.0,0,3,1,1.0,21515.0,False,True,False,False,False,True,True,False,False,False,False,False,False,False
