Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Gender,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe
1923,26.0,0,1,23.0,1,2,3.0,3.0,1.0,1,5,0,1.0,17741.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False
597,42.0,1,0,6.0,1,2,4.0,3.0,1.0,1,3,0,1.0,21062.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False
4701,56.0,0,0,9.0,2,4,4.0,4.0,5.0,0,1,0,2.0,29654.0,False,True,False,True,False,False,False,False,True,False,False,False,True,False
4662,27.0,0,2,36.0,2,4,6.0,5.0,2.0,0,3,1,2.0,23647.0,False,False,True,False,False,True,False,True,False,False,True,False,False,False
2821,37.0,1,0,9.0,1,4,4.0,3.0,6.0,0,5,1,1.0,21221.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False
2420,31.0,1,1,28.0,2,2,5.0,3.0,2.0,0,1,0,1.0,24852.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1468,49.0,0,2,8.0,2,3,4.0,4.0,3.0,0,3,1,2.0,20390.0,False,False,True,True,False,False,False,True,False,False,True,False,False,False
1785,43.0,0,0,16.0,1,2,3.0,3.0,1.0,0,5,0,0.0,17455.0,False,True,False,False,True,False,True,False,False,False,False,False,False,False
4619,40.0,1,2,9.0,2,3,2.0,3.0,2.0,0,1,0,1.0,26558.0,False,True,False,False,False,True,False,False,True,False,False,False,True,False
2607,58.0,1,0,31.0,2,3,3.0,3.0,5.0,1,4,1,2.0,28117.0,False,True,False,True,False,False,False,False,True,False,False,False,True,False
2727,56.0,1,0,27.0,2,3,4.0,3.0,5.0,1,2,1,2.0,24093.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False
401,56.0,0,2,12.0,1,2,2.0,5.0,1.0,0,3,1,0.0,28212.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True
4876,52.0,1,2,34.0,2,3,4.0,3.0,3.0,1,5,1,2.0,32704.0,False,True,False,False,True,False,False,True,False,False,True,False,False,False
2352,36.0,1,0,7.0,1,3,5.0,5.0,3.0,1,1,1,0.0,25252.0,True,False,False,True,False,False,False,False,True,False,False,False,True,False
586,24.0,0,0,15.0,2,2,4.0,4.0,2.0,0,5,1,0.0,17694.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False
702,30.0,1,2,14.0,2,3,3.0,3.0,6.0,0,3,1,0.0,22264.0,False,True,False,True,False,False,False,False,True,False,False,False,True,False
2404,25.0,1,0,15.0,2,2,3.0,5.0,4.0,0,1,1,0.0,17096.0,False,True,False,False,True,False,True,False,False,False,False,False,False,False
3462,37.0,1,0,11.0,2,3,5.0,3.0,3.0,0,5,1,2.0,24488.0,False,True,False,False,False,True,False,True,False,False,True,False,False,False
1983,20.0,1,0,16.0,2,2,3.0,3.0,2.0,1,5,1,1.0,16009.0,False,False,True,False,True,False,True,False,False,False,False,False,False,False
3370,44.0,1,2,11.0,1,3,5.0,3.0,5.0,0,3,1,1.0,28909.0,False,False,True,False,True,False,False,False,True,False,False,False,True,False
4573,29.0,1,2,12.0,2,4,4.0,3.0,3.0,0,3,0,2.0,23586.0,False,False,True,False,False,True,False,True,False,False,True,False,False,False
4525,36.0,1,0,14.0,2,3,4.0,3.0,5.0,0,3,0,2.0,28899.0,False,True,False,False,True,False,False,False,True,False,False,False,True,False
3180,49.0,1,0,11.0,2,4,5.0,3.0,2.0,0,5,1,2.0,29677.0,False,True,False,False,True,False,False,False,True,False,False,False,True,False
74,36.0,1,0,12.0,1,2,2.0,3.0,4.0,0,2,0,0.0,18038.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False
4301,41.0,1,2,9.0,1,3,4.0,4.0,2.0,0,1,0,1.0,24393.0,False,False,True,True,False,False,False,True,False,False,True,False,False,False
3099,34.0,1,1,10.0,2,3,4.0,4.0,5.0,1,5,0,2.0,20955.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False
2726,30.0,0,2,9.0,2,3,4.0,3.0,3.0,0,2,0,1.0,23232.0,False,True,False,False,False,True,False,True,False,False,True,False,False,False
